#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                 610             1.22775             1.16492           0.0141985
                 611             1.22812             1.16502           0.0141756
                 612             1.22849             1.16513           0.0141528
                 613             1.22884             1.16523           0.0141301
                 614             1.22919             1.16533           0.0141075
                 615             1.22954             1.16544           0.0140849
                 616             1.22988             1.16554           0.0140625
                 617             1.23021             1.16565           0.0140401
                 618             1.23055             1.16575           0.0140177
                 619             1.23089             1.16586           0.0139955
                 620             1.23122             1.16596           0.0139733
                 621             1.23156             1.16607           0.0139512
                 622              1.2319             1.16618           0.0139292
                 623             1.23225             1.16628           0.0139072
                 624              1.2326             1.16639           0.0138853
                 625             1.23296             1.16649           0.0138635
                 626             1.23333              1.1666           0.0138418
                 627             1.23371             1.16671           0.0138201
                 628             1.23409             1.16682           0.0137985
                 629             1.23449             1.16692            0.013777
                 630              1.2349             1.16703           0.0137556
                 631             1.23532             1.16714           0.0137342
                 632             1.23575             1.16725           0.0137129
                 633              1.2362             1.16736           0.0136917
                 634             1.23667             1.16747           0.0136705
                 635             1.23715             1.16758           0.0136494
                 636             1.23764             1.16769           0.0136284
                 637             1.23815              1.1678           0.0136075
                 638             1.23868             1.16791           0.0135866
                 639             1.23923             1.16802           0.0135658
                 640             1.23979             1.16813           0.0135451
                 641             1.24037             1.16824           0.0135244
                 642             1.24097             1.16836           0.0135038
                 643             1.24158             1.16847           0.0134833
                 644             1.24222             1.16859           0.0134628
                 645             1.24287              1.1687           0.0134424
                 646             1.24354             1.16882           0.0134221
                 647             1.24424             1.16893           0.0134019
                 648             1.24495             1.16905           0.0133817
                 649             1.24567             1.16917           0.0133616
                 650             1.24642             1.16929           0.0133416
                 651             1.24719             1.16941           0.0133216
                 652             1.24797             1.16953           0.0133018
                 653             1.24876             1.16965           0.0132819
                 654             1.24957             1.16977           0.0132622
                 655              1.2504             1.16989           0.0132425
                 656             1.25124             1.17002           0.0132229
                 657              1.2521             1.17014           0.0132034
                 658             1.25297             1.17027           0.0131839
