#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 423       -5.460255e+00       -5.468055e+00        8.897148e-04
                 424       -5.460902e+00       -5.468038e+00        8.877764e-04
                 425       -5.460902e+00       -5.468021e+00        8.858463e-04
                 426       -5.460902e+00       -5.468005e+00        8.839245e-04
                 427       -5.461225e+00       -5.467989e+00        8.819970e-04
                 428       -5.460254e+00       -5.467971e+00        8.801214e-04
                 429       -5.460578e+00       -5.467954e+00        8.782385e-04
                 430       -5.460579e+00       -5.467936e+00        8.763635e-04
                 431       -5.460255e+00       -5.467919e+00        8.745114e-04
                 432       -5.460255e+00       -5.467901e+00        8.726670e-04
                 433       -5.460255e+00       -5.467883e+00        8.708302e-04
                 434       -5.460903e+00       -5.467867e+00        8.689722e-04
                 435       -5.460903e+00       -5.467851e+00        8.671220e-04
                 436       -5.460902e+00       -5.467835e+00        8.652797e-04
                 437       -5.461226e+00       -5.467820e+00        8.634318e-04
                 438       -5.461226e+00       -5.467805e+00        8.615917e-04
                 439       -5.461550e+00       -5.467791e+00        8.597469e-04
                 440       -5.461873e+00       -5.467777e+00        8.578981e-04
                 441       -5.461226e+00       -5.467762e+00        8.560814e-04
                 442       -5.461873e+00       -5.467749e+00        8.542482e-04
                 443       -5.461873e+00       -5.467736e+00        8.524229e-04
                 444       -5.462196e+00       -5.467723e+00        8.505943e-04
                 445       -5.462196e+00       -5.467711e+00        8.487736e-04
                 446       -5.461873e+00       -5.467698e+00        8.469714e-04
                 447       -5.461226e+00       -5.467683e+00        8.452004e-04
                 448       -5.461225e+00       -5.467669e+00        8.434367e-04
                 449       -5.461549e+00       -5.467655e+00        8.416684e-04
                 450       -5.461225e+00       -5.467641e+00        8.399193e-04
                 451       -5.461225e+00       -5.467627e+00        8.381774e-04
                 452       -5.461872e+00       -5.467614e+00        8.364197e-04
                 453       -5.461872e+00       -5.467601e+00        8.346694e-04
                 454       -5.462196e+00       -5.467589e+00        8.329158e-04
                 455       -5.462195e+00       -5.467578e+00        8.311696e-04
                 456       -5.462519e+00       -5.467567e+00        8.294209e-04
                 457       -5.462195e+00       -5.467555e+00        8.276892e-04
                 458       -5.462519e+00       -5.467544e+00        8.259551e-04
                 459       -5.462843e+00       -5.467534e+00        8.242191e-04
