           beta           mean          sigma           E           errE
        102.184       0.730753       0.686092      -0.412455     0.00172825
        102.695       0.728285       0.690996       -0.40161     0.00190549
        103.209       0.725347       0.694694      -0.400573     0.00190641
        103.725       0.716552       0.686515      -0.400507     0.00186243
        104.244       0.710008       0.682689      -0.403672     0.00147515
        104.765       0.706554       0.692177      -0.393949     0.00191931
        105.289       0.714134       0.696479       -0.39715     0.00191894
        105.815       0.711884       0.703875      -0.390937     0.00197153
        106.344       0.718998       0.707086      -0.393276     0.00169851
        107.947       0.718638       0.705164      -0.394484     0.00187062
        108.487       0.726047        0.70548      -0.396508      0.0019771
        109.029       0.730456       0.700121      -0.399817     0.00173471
        109.575        0.72951        0.69184      -0.407579     0.00169718
        111.226       0.730522       0.689785      -0.406982      0.0018123
        111.783       0.732026       0.684144       -0.40951     0.00182765
        112.341       0.727244       0.687157      -0.405111     0.00170461
        112.903       0.718251       0.694144      -0.402118     0.00175751
        113.468       0.716695       0.697528      -0.398977     0.00172733
        115.178       0.715599        0.69958      -0.398486     0.00196559
        115.754       0.720202       0.692388      -0.402635     0.00165114
        116.333       0.728276       0.687203       -0.40809     0.00168741
        116.915       0.729911       0.688222      -0.405825     0.00179993
        117.499       0.725927       0.679165      -0.410253     0.00164583
        118.677       0.729593       0.677696      -0.414349     0.00122218
         119.27       0.722342       0.680713       -0.40946     0.00172719
        119.867       0.731946        0.68533       -0.40867     0.00168638
        120.466       0.724644        0.67866      -0.407522     0.00150791
        121.068       0.729152       0.677359      -0.410143     0.00172204
        121.674       0.726225       0.681725      -0.408586     0.00137591
        122.282       0.733196        0.68701      -0.408463     0.00184118
        122.894       0.738478       0.685411      -0.410934     0.00166766
        124.746       0.737197       0.682686      -0.413297     0.00160026
         125.37       0.739973       0.679456      -0.413226     0.00172477
        125.997       0.749579       0.673653      -0.421267     0.00169294
        126.627       0.746341       0.672892       -0.42016     0.00151922
         127.26       0.755679       0.674021      -0.421666     0.00178668
        128.536       0.757378       0.673438      -0.420153     0.00153513
        129.824       0.761149       0.669795      -0.423407     0.00149559
        130.473       0.751581       0.662964      -0.424926     0.00132341
        131.126       0.757801        0.66993      -0.423292     0.00159526
        131.781       0.766524        0.66961      -0.423441     0.00164731
         132.44       0.768643       0.661122      -0.428418     0.00140473
        133.102        0.77444       0.670068      -0.427446     0.00136067
        133.768       0.777716       0.666552      -0.429396      0.0015861
        135.785       0.777598       0.663817       -0.43016     0.00160353
        136.463       0.778846       0.654455      -0.434062      0.0013084
        137.146       0.781972       0.654587      -0.434069     0.00157882
        137.832       0.776175       0.644754      -0.437557     0.00131226
        138.521       0.786127       0.647481      -0.439102     0.00123971
        139.213       0.789166       0.642257      -0.439649      0.0011848
        139.909       0.792187       0.636917       -0.44174     0.00125279
        141.312       0.792735       0.638498      -0.441079     0.00144897
        142.018       0.784187       0.632502        -0.4413     0.00122502
        142.729       0.790599       0.632016      -0.442877     0.00119909
        143.442       0.789135       0.632357      -0.442803     0.00126743
        144.159       0.788313       0.641229      -0.441098     0.00123195
         144.88       0.792385       0.632875      -0.444172     0.00116772
        145.605       0.788781       0.629202      -0.441756     0.00110505
        146.333       0.793089       0.628796      -0.443343     0.00122577
        147.064       0.793509       0.632476      -0.443791     0.00124933
          147.8       0.795253       0.624533      -0.444048     0.00149234
        150.028       0.795864       0.622532      -0.444354     0.00125221
        150.778       0.799295       0.624111      -0.442516      0.0011879
        151.532       0.809213       0.623715      -0.442788     0.00118628
        152.289       0.804963       0.624693      -0.445893      0.0012208
        153.051       0.814211       0.617145      -0.445633     0.00111883
        153.816        0.80631       0.615326      -0.445326     0.00115224
        154.585       0.797152       0.611249      -0.442777     0.00111018
