#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 520            -7.60516            -7.54732          0.00362354
                 521            -7.62169            -7.54746           0.0036194
                 522            -7.55209            -7.54747          0.00361247
                 523            -7.50548            -7.54739          0.00360646
                 524            -7.47888            -7.54726          0.00360195
                 525             -7.4943            -7.54716           0.0035965
                 526            -7.48198            -7.54703          0.00359179
                 527             -7.5199            -7.54698          0.00358535
                 528            -7.51544            -7.54692          0.00357906
                 529            -7.46448            -7.54677          0.00357568
                 530            -7.46323            -7.54661          0.00357241
                 531            -7.53909             -7.5466          0.00356571
                 532            -7.46791            -7.54645          0.00356207
                 533            -7.49378            -7.54635          0.00355676
                 534             -7.4764            -7.54622          0.00355251
                 535            -7.46321            -7.54606          0.00354925
                 536            -7.47396            -7.54593          0.00354518
                 537            -7.47002            -7.54579           0.0035414
                 538            -7.43478            -7.54558          0.00354082
                 539            -7.47704            -7.54545          0.00353653
                 540            -7.46009            -7.54529          0.00353352
                 541            -7.49032            -7.54519          0.00352844
                 542            -7.46234            -7.54504          0.00352524
                 543            -7.47307            -7.54491          0.00352124
                 544            -7.55137            -7.54492          0.00351479
                 545            -7.57405            -7.54497          0.00350875
                 546            -7.61927            -7.54511          0.00350496
                 547            -7.61606            -7.54524          0.00350095
                 548            -7.57354            -7.54529          0.00349494
                 549            -7.63831            -7.54546          0.00349268
                 550            -7.59448            -7.54555          0.00348747
                 551            -7.59321            -7.54564          0.00348221
                 552            -7.56853            -7.54568          0.00347615
                 553            -7.61016            -7.54579          0.00347182
                 554            -7.61085            -7.54591          0.00346754
                 555            -7.59362              -7.546          0.00346236
                 556            -7.55734            -7.54602          0.00345619
