#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 341       -6.381868e+00       -6.344183e+00        4.730245e-03
                 342       -6.306921e+00       -6.344074e+00        4.717669e-03
                 343       -6.276073e+00       -6.343876e+00        4.708078e-03
                 344       -6.343273e+00       -6.343874e+00        4.694392e-03
                 345       -6.306365e+00       -6.343765e+00        4.682044e-03
                 346       -6.346721e+00       -6.343774e+00        4.668520e-03
                 347       -6.410855e+00       -6.343967e+00        4.659067e-03
                 348       -6.385979e+00       -6.344088e+00        4.647243e-03
                 349       -6.311165e+00       -6.343994e+00        4.634884e-03
                 350       -6.378078e+00       -6.344091e+00        4.622665e-03
                 351       -6.355097e+00       -6.344122e+00        4.609601e-03
                 352       -6.355163e+00       -6.344154e+00        4.596612e-03
                 353       -6.409486e+00       -6.344339e+00        4.587315e-03
                 354       -6.407213e+00       -6.344516e+00        4.577794e-03
                 355       -6.395986e+00       -6.344661e+00        4.567194e-03
                 356       -6.336857e+00       -6.344639e+00        4.554417e-03
                 357       -6.344997e+00       -6.344640e+00        4.541660e-03
                 358       -6.358255e+00       -6.344678e+00        4.529133e-03
                 359       -6.301899e+00       -6.344559e+00        4.518084e-03
                 360       -6.332127e+00       -6.344525e+00        4.505666e-03
                 361       -6.350629e+00       -6.344542e+00        4.493217e-03
                 362       -6.417063e+00       -6.344742e+00        4.485268e-03
                 363       -6.358793e+00       -6.344781e+00        4.473079e-03
                 364       -6.384011e+00       -6.344888e+00        4.462089e-03
                 365       -6.384419e+00       -6.344997e+00        4.451178e-03
                 366       -6.409395e+00       -6.345173e+00        4.442493e-03
                 367       -6.355075e+00       -6.345200e+00        4.430470e-03
                 368       -6.423190e+00       -6.345412e+00        4.423496e-03
                 369       -6.430321e+00       -6.345642e+00        4.417489e-03
                 370       -6.411485e+00       -6.345820e+00        4.409133e-03
                 371       -6.419179e+00       -6.346017e+00        4.401680e-03
                 372       -6.403404e+00       -6.346172e+00        4.392550e-03
                 373       -6.341246e+00       -6.346158e+00        4.380794e-03
                 374       -6.347339e+00       -6.346162e+00        4.369082e-03
                 375       -6.383541e+00       -6.346261e+00        4.358568e-03
                 376       -6.326499e+00       -6.346209e+00        4.347293e-03
                 377       -6.336187e+00       -6.346182e+00        4.335843e-03
                 378       -6.304897e+00       -6.346073e+00        4.325748e-03
                 379       -6.222086e+00       -6.345746e+00        4.326687e-03
                 380       -6.275515e+00       -6.345561e+00        4.319246e-03
                 381       -6.299292e+00       -6.345440e+00        4.309616e-03
                 382       -6.358609e+00       -6.345474e+00        4.298473e-03
                 383       -6.373212e+00       -6.345546e+00        4.287859e-03
                 384       -6.410900e+00       -6.345717e+00        4.280069e-03
                 385       -6.330723e+00       -6.345678e+00        4.269130e-03
                 386       -6.374269e+00       -6.345752e+00        4.258712e-03
                 387       -6.339604e+00       -6.345736e+00        4.247737e-03
                 388       -6.395045e+00       -6.345863e+00        4.238690e-03
                 389       -6.361780e+00       -6.345904e+00        4.227991e-03
                 390       -6.380684e+00       -6.345993e+00        4.218091e-03
                 391       -6.416511e+00       -6.346173e+00        4.211157e-03
                 392       -6.430027e+00       -6.346387e+00        4.205843e-03
                 393       -6.501052e+00       -6.346781e+00        4.213514e-03
                 394       -6.401200e+00       -6.346919e+00        4.205083e-03
