#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 521          -0.0391127          -0.0341654         9.47742e-05
                 522          -0.0391422           -0.034175          9.5071e-05
                 523          -0.0391742          -0.0341845         9.53685e-05
                 524          -0.0392086          -0.0341941         9.56673e-05
                 525          -0.0392384          -0.0342037         9.59663e-05
                 526          -0.0392706          -0.0342134         9.62661e-05
                 527          -0.0393029           -0.034223         9.65667e-05
                 528           -0.039333          -0.0342327         9.68675e-05
                 529          -0.0393631          -0.0342424         9.71687e-05
                 530          -0.0393933          -0.0342521         9.74702e-05
                 531          -0.0394236          -0.0342619          9.7772e-05
                 532          -0.0394564          -0.0342716         9.80745e-05
                 533          -0.0394868          -0.0342814         9.83774e-05
                 534          -0.0395151          -0.0342912         9.86802e-05
                 535          -0.0395457           -0.034301         9.89833e-05
